Protein	HG_RPMI_exp_1	HG_RPMI_exp_2	HG_RPMI_exp_3	HG_RPMI_stat_1	HG_RPMI_stat_2	HG_RPMI_stat_3	HG_TSB_exp_1	HG_TSB_exp_2	HG_TSB_exp_3	HG_TSB_stat_1	HG_TSB_stat_2	HG_TSB_stat_3	ST_RPMI_exp_1	ST_RPMI_exp_2	ST_RPMI_exp_3	ST_RPMI_stat_1	ST_RPMI_stat_2	ST_RPMI_stat_3	ST_TSB_exp_1	ST_TSB_exp_2	ST_TSB_exp_3	ST_TSB_stat_1	ST_TSB_stat_2	ST_TSB_stat_3
MurA1	91207.79098	121307.7179	119815.7615	63093.43619	95403.04342	71033.7003	202730.1426	196252.4206	170138.5511	82228.83492	82753.09335	86714.73004	92508.19655	78655.27018	70787.37759	104353.2061	69738.61604	42635.52845	140049.4621	100087.8446	117226.0423	55118.25591	73872.31753	61863.87649
CstR	2308.356117	1188.29958	2355.564823	NA	NA	3612.419604	4059.733597	4600.85294	4947.443989	NA	NA	NA	557.5641449	2382.704201	2264.394907	501.5709855	1403.476042	4242.662456	7293.707157	6315.577091	8000.417984	1041.348167	NA	NA
Eno	3275111.567	2844793.313	3151893.04	1814468.55	1908797.997	2271144.435	2635000.794	2614322.694	3004944.181	2689074.409	2250198.986	2339917.518	3406218.823	2343187.277	3023502.229	2699443.22	2625966.518	2851905.792	3597777.065	2560590.076	3407394.029	2403530.175	2482332.127	2996615.852
GapA	4650879.554	5088691.304	4852874.649	2343342.731	2635087.238	2689097.922	4058141.129	3909078.156	3630189.679	1666543.726	1370101.973	1232505.132	5492681.927	3745958.883	4284374.375	3819007.547	3413817.127	2949179.947	3822230.112	2903951.092	3523220.88	1370820.676	1254023.085	1397266.245
PrfA	153375.1333	148660.711	152716.8561	89471.01626	83381.3145	110458.3831	175487.6404	187546.0858	182515.0919	113806.0946	94811.66834	101761.5421	120225.8671	112762.8253	111452.4044	81706.99998	124989.207	136953.9993	214981.9951	160903.7639	204006.195	120516.6537	101905.4782	105321.8299
SAOUHSC_01676	353491.4601	419137.9093	386522.0125	286004.72	253879.4042	312690.9222	546325.231	577460.2692	509403.3393	943349.3544	976479.4985	872073.5259	327643.8766	316235.4444	288702.7114	305692.1269	352094.2729	335704.9552	468609.9593	345681.4696	417225.2922	829511.2603	728399.5334	713373.2652
EbpS	103584.6658	103872.0427	175951.6191	187302.0078	213214.9455	290663.2263	110562.9145	95519.48907	83597.88843	201202.9372	216385.806	189438.448	140597.992	73185.66976	83181.35845	262592.4846	195683.6082	124664.1446	82017.3225	88728.12477	83719.03112	237179.3242	222513.021	180782.5618
MvaS	354939.7767	416728.4541	435062.7103	248670.7662	212629.6673	248002.4857	360368.1371	348092.9682	363255.9797	424433.2084	353264.4358	407212.0836	567027.6663	429809.4678	462393.6007	343002.0623	322581.6632	251415.3873	446087.3513	262486.1708	346970.3613	337477.1223	362515.0995	402484.1465
CoaBC	85658.76559	76448.58251	69918.5682	53881.11963	59852.36965	77220.61702	107519.5479	105376.4855	99823.94132	58906.31735	60814.00695	52850.46845	60034.05366	71746.26776	79153.5855	125029.7238	86990.08202	71822.89684	95956.0873	100205.3064	108517.8106	59531.87233	60076.28367	54345.64172
Gnd	653189.5981	862666.4967	772228.3896	554128.5148	670508.6911	671545.3394	869452.5177	839892.2245	776890.4937	610118.1677	617425.2468	582684.0191	766033.0884	700555.1927	662974.8602	617474.6452	634159.3758	500092.0777	748193.4712	564172.6127	723899.8753	695108.4799	582515.9726	596222.7552
Hla	NA	4821.012522	NA	NA	NA	NA	NA	NA	NA	30851.00537	28915.26302	31393.13479	5837.263685	NA	NA	NA	NA	NA	2487.324141	NA	NA	106546.7807	90862.87619	81304.49784
GsaB	111024.1027	147490.2409	116500.5894	72555.4617	98000.01025	97232.84956	117095.0245	115466.3096	87989.57801	118954.8732	135980.157	123548.1621	104876.426	115279.7576	96961.72088	161915.7586	123019.3425	105161.0145	94385.09342	90953.13505	108663.8077	151433.3024	144620.2817	120855.7048
UvrA	20255.44146	21255.78922	21389.75637	11630.80355	4023.25451	11139.57975	28233.51383	30278.74981	35135.7742	40395.99583	38749.8285	39596.21723	21187.98245	20325.41312	21643.82841	8010.218422	13892.06986	16261.12822	29640.63184	23150.46081	30728.57632	34563.30015	34536.05924	37709.36036
SbnG	27905.18185	43469.53845	49516.2084	43752.07777	21583.19577	49022.49905	NA	NA	NA	NA	NA	NA	65539.99263	10799.17469	46785.39798	83076.74094	52551.05361	27788.70412	NA	NA	NA	NA	NA	NA
RelQ	35502.68862	27174.9085	33109.47973	31381.77246	33582.07719	39610.69395	25951.62563	23729.01821	45072.67154	50315.74783	47434.60409	50126.52446	37376.55693	22163.4057	24855.4491	44776.01972	41569.77241	40519.84799	41355.54755	16296.5363	36641.57869	31577.61527	42334.31746	44345.38701
