sample	strain	media	phase	replicate	media+phase	strain+media+phase
HG_RPMI_exp_1	HG	RPMI	exp	1	RPMI_exp	HG_RPMI_exp
HG_RPMI_exp_2	HG	RPMI	exp	2	RPMI_exp	HG_RPMI_exp
HG_RPMI_exp_3	HG	RPMI	exp	3	RPMI_exp	HG_RPMI_exp
HG_RPMI_stat_1	HG	RPMI	stat	1	RPMI_stat	HG_RPMI_stat
HG_RPMI_stat_2	HG	RPMI	stat	2	RPMI_stat	HG_RPMI_stat
HG_RPMI_stat_3	HG	RPMI	stat	3	RPMI_stat	HG_RPMI_stat
HG_TSB_exp_1	HG	TSB	exp	1	TSB_exp	HG_TSB_exp
HG_TSB_exp_2	HG	TSB	exp	2	TSB_exp	HG_TSB_exp
HG_TSB_exp_3	HG	TSB	exp	3	TSB_exp	HG_TSB_exp
HG_TSB_stat_1	HG	TSB	stat	1	TSB_stat	HG_TSB_stat
HG_TSB_stat_2	HG	TSB	stat	2	TSB_stat	HG_TSB_stat
HG_TSB_stat_3	HG	TSB	stat	3	TSB_stat	HG_TSB_stat
ST_RPMI_exp_1	ST	RPMI	exp	1	RPMI_exp	ST_RPMI_exp
ST_RPMI_exp_2	ST	RPMI	exp	2	RPMI_exp	ST_RPMI_exp
ST_RPMI_exp_3	ST	RPMI	exp	3	RPMI_exp	ST_RPMI_exp
ST_RPMI_stat_1	ST	RPMI	stat	1	RPMI_stat	ST_RPMI_stat
ST_RPMI_stat_2	ST	RPMI	stat	2	RPMI_stat	ST_RPMI_stat
ST_RPMI_stat_3	ST	RPMI	stat	3	RPMI_stat	ST_RPMI_stat
ST_TSB_exp_1	ST	TSB	exp	1	TSB_exp	ST_TSB_exp
ST_TSB_exp_2	ST	TSB	exp	2	TSB_exp	ST_TSB_exp
ST_TSB_exp_3	ST	TSB	exp	3	TSB_exp	ST_TSB_exp
ST_TSB_stat_1	ST	TSB	stat	1	TSB_stat	ST_TSB_stat
ST_TSB_stat_2	ST	TSB	stat	2	TSB_stat	ST_TSB_stat
ST_TSB_stat_3	ST	TSB	stat	3	TSB_stat	ST_TSB_stat
